SpectraSuite Datei
++++++++++++++++++++++++++++++++++++
Datum: Mon Nov 11 16:32:59 CET 2019
Benutzer: user
Dark-Spektrum vorhanden: Ja
Referenz-Spektrum vorhanden: Nein
Zahl der probierten Teilspektren: 1
Spektrometer: USB4F04607
Integrationszeit (usec): 4000 (USB4F04607)
Spektren Durchschnitt berechnet: 20 (USB4F04607)
Boxcar Glättung: 0 (USB4F04607)
Dunkelstromkorrektur: Nein (USB4F04607)
Puls/Lampe aktiviert: Nein (USB4F04607)
Correct for Detector Non-linearity: Nein (USB4F04607)
Streulichtkorrektur: Nein (USB4F04607)
Anzahl Pixel in verarbeitetem Spektrum: 3648
>>>>>Begin Processed Spectral Data<<<<<
177,66	12,08
177,88	12,08
178,10	12,08
178,32	-9,93
178,53	2,25
178,75	-16,28
178,97	-4,61
179,19	1,23
179,40	17,31
179,62	-10,75
179,84	-11,16
180,05	6,35
180,27	1,13
180,49	9,63
180,71	0,10
180,92	18,94
181,14	-27,55
181,36	2,76
181,58	2,36
181,79	11,57
182,01	-25,39
182,23	-3,58
182,44	9,42
182,66	6,96
182,88	-1,23
183,10	-26,62
183,31	13,62
183,53	17,41
183,75	4,10
183,96	-12,80
184,18	-1,33
184,40	-17,10
184,62	-11,16
184,83	-19,25
185,05	-9,11
185,27	11,16
185,48	-1,95
185,70	8,09
185,92	-11,16
186,14	-1,13
186,35	-0,92
186,57	-10,14
186,79	6,76
187,00	-13,21
187,22	2,05
187,44	-2,87
187,66	-5,53
187,87	-8,81
188,09	23,76
188,31	9,32
188,52	-15,67
188,74	-25,80
188,96	-9,32
189,17	-8,91
189,39	10,96
189,61	2,97
189,82	1,95
190,04	-16,08
190,26	15,05
190,48	-3,28
190,69	19,66
190,91	9,63
191,13	-15,56
191,34	4,51
191,56	-17,61
191,78	12,29
191,99	4,81
192,21	0,92
192,43	-7,37
192,64	0,92
192,86	5,12
193,08	9,52
193,29	2,66
193,51	0,41
193,73	1,74
193,94	11,67
194,16	-5,94
194,38	-7,78
194,60	3,79
194,81	-11,26
195,03	2,66
195,25	-4,30
195,46	-14,13
195,68	-20,89
195,90	-6,96
196,11	5,84
196,33	2,05
196,55	-2,56
196,76	9,01
196,98	2,25
197,20	-18,74
197,41	-0,41
197,63	8,70
197,85	-26,52
198,06	13,62
198,28	11,16
198,50	22,63
198,71	-10,14
198,93	-3,99
199,14	3,79
199,36	-6,76
199,58	11,16
199,79	6,86
200,01	4,71
200,23	12,70
200,44	-8,50
200,66	-11,37
200,88	15,36
201,09	-24,78
201,31	13,31
201,53	-5,02
201,74	-17,10
201,96	-4,40
202,18	5,32
202,39	5,02
202,61	8,91
202,83	0,82
203,04	-11,67
203,26	3,48
203,47	-2,97
203,69	18,94
203,91	-2,97
204,12	7,07
204,34	-1,33
204,56	-1,02
204,77	6,55
204,99	2,97
205,21	11,57
205,42	-11,26
205,64	6,55
205,85	1,54
206,07	0,00
206,29	30,82
206,50	-0,82
206,72	7,58
206,94	-1,43
207,15	11,67
