1,908.72,2590,10,1142.28,2705,20,941.96,310,3,1106.35,522,6
2,822.48,1170,10,1225.82,1160,8,860.21,315,5,1187.19,310,4
3,739.84,650,5,1309.36,696,7,780.26,310,5,1271.64,306,4
4,660.79,414,5,1392.91,457,5,698.52,212,3,1354.28,195,3
5,581.74,304,4,1472.86,363,5,618.57,187,3,1433.33,185,3
