Wellenlänge [nm],Fehler [nm]
512.871,2.036
495.674,2.279
472.674,1.470
464.419,1.741
447.436,2.956
436.821,1.495
431.077,1.819
427.653,1.252
424.399,2.439
417.561,1.849
413.509,1.566
